muestra,phase_acc,idx_tabla,valor_seno_comparador
134,1726576868,411,208
135,1739461770,414,203
136,1752346672,417,197
137,1765231574,420,192
138,1778116476,423,186
139,1791001378,427,178
140,1803886280,430,173
141,1816771182,433,167
142,1829656084,436,161
143,1842540986,439,155
144,1855425888,442,149
145,1868310790,445,143
146,1881195692,448,137
147,1894080594,451,131
148,1906965496,454,125
149,1919850398,457,118
150,1932735300,460,112
151,1945620202,463,106
152,1958505104,466,99
153,1971390006,470,91
154,1984274908,473,85
155,1997159810,476,78
156,2010044712,479,72
157,2022929614,482,65
158,2035814516,485,59
159,2048699418,488,52
160,2061584320,491,46
161,2074469222,494,39
162,2087354124,497,32
163,2100239026,500,26
164,2113123928,503,19
165,2126008830,506,13
166,2138893732,509,6
167,2151778634,513,-2
168,2164663536,516,-8
169,2177548438,519,-15
170,2190433340,522,-22
171,2203318242,525,-28
172,2216203144,528,-35
173,2229088046,531,-41
174,2241972948,534,-48
175,2254857850,537,-54
176,2267742752,540,-61
177,2280627654,543,-67
178,2293512556,546,-74
179,2306397458,549,-80
180,2319282360,552,-87
181,2332167262,556,-95
182,2345052164,559,-102
183,2357937066,562,-108
184,2370821968,565,-114
185,2383706870,568,-120
186,2396591772,571,-127
187,2409476674,574,-133
188,2422361576,577,-139
189,2435246478,580,-145
190,2448131380,583,-151
191,2461016282,586,-157
192,2473901184,589,-163
193,2486786086,592,-169
194,2499670988,595,-175
195,2512555890,599,-182
196,2525440792,602,-188
197,2538325694,605,-193
198,2551210596,608,-199
199,2564095498,611,-204
200,2576980400,614,-210
201,2589865302,617,-215
202,2602750204,620,-220
203,2615635106,623,-226
204,2628520008,626,-231
205,2641404910,629,-236
206,2654289812,632,-241
207,2667174714,635,-245
208,2680059616,638,-250
209,2692944518,642,-256
210,2705829420,645,-261
211,2718714322,648,-266
212,2731599224,651,-270
213,2744484126,654,-274
214,2757369028,657,-278
215,2770253930,660,-283
216,2783138832,663,-287
217,2796023734,666,-290
218,2808908636,669,-294
219,2821793538,672,-298
220,2834678440,675,-302
221,2847563342,678,-305
222,2860448244,681,-309
223,2873333146,685,-313
224,2886218048,688,-316
225,2899102950,691,-319
226,2911987852,694,-322
227,2924872754,697,-325
228,2937757656,700,-328
229,2950642558,703,-330
230,2963527460,706,-333
231,2976412362,709,-335
232,2989297264,712,-338
233,3002182166,715,-340
234,3015067068,718,-342
235,3027951970,721,-344
236,3040836872,724,-345
237,3053721774,728,-348
238,3066606676,731,-349
239,3079491578,734,-351
240,3092376480,737,-352
241,3105261382,740,-353
242,3118146284,743,-354
243,3131031186,746,-355
244,3143916088,749,-356
245,3156800990,752,-357
246,3169685892,755,-357
247,3182570794,758,-358
248,3195455696,761,-358
249,3208340598,764,-358
250,3221225500,768,-359
251,3234110402,771,-358
252,3246995304,774,-358
253,3259880206,777,-358
254,3272765108,780,-358
255,3285650010,783,-357
256,3298534912,786,-356
257,3311419814,789,-356
258,3324304716,792,-355
259,3337189618,795,-354
260,3350074520,798,-352
261,3362959422,801,-351
262,3375844324,804,-350
263,3388729226,807,-348
264,3401614128,811,-346
265,3414499030,814,-344
266,3427383932,817,-342
267,3440268834,820,-340
268,3453153736,823,-338
269,3466038638,826,-336
270,3478923540,829,-334
271,3491808442,832,-331
272,3504693344,835,-329
273,3517578246,838,-326
274,3530463148,841,-323
275,3543348050,844,-320
276,3556232952,847,-317
277,3569117854,850,-314
278,3582002756,854,-310
279,3594887658,857,-306
280,3607772560,860,-303
281,3620657462,863,-299
282,3633542364,866,-296
283,3646427266,869,-292
284,3659312168,872,-288
285,3672197070,875,-284
286,3685081972,878,-280
287,3697966874,881,-276
288,3710851776,884,-271
289,3723736678,887,-267
290,3736621580,890,-263
291,3749506482,893,-258
292,3762391384,897,-252
293,3775276286,900,-247
294,3788161188,903,-242
295,3801046090,906,-237
296,3813930992,909,-232
297,3826815894,912,-227
298,3839700796,915,-222
299,3852585698,918,-217
300,3865470600,921,-212
301,3878355502,924,-206
